,idiom,meaning,example,idiomatic_part
1077,as far as,Meaning: to the extent of something,"Example: As far as you are concerned, this chapter is over here. You are not to contact her again for anything. Read on",As far as
1078,account for,Meaning: to have to provide an explanation for (something),Example: The horrible weather accounted for more than 20 percent absenteeism at work today. Read on,accounted for
1079,make an ass,Meaning: to make a fool of someone,Example: The comedian has to make an ass of himself every time he gets on stage. He is truly the modern day joker. Read on,make an ass
1080,arm in arm,Meaning: to be closely allied,Example: This couple always walks arm in arm. It is very sweet to see a subtle display of affection these days. Read on,arm in arm
1081,give airs,Meaning: to be pretentious/showy,Example: Susan is a very smart girl but the fact that she gives herself airs about her job makes me like her a little less. Read on,gives herself airs
1082,axe to grind,Meaning: have a private or selfish reason for doing something,Example: He should not become the chairman of the committee as he has too many axes of his own to grind. Read on,axes of his own to grind
1083,Adam’s ale,Meaning: water,"Example: It is blistering hot outside, I could really do with an iced cold glass of Adam's ale. Read on",Adam's ale
1084,keep at arm’s length,Meaning: keep distance from something or somebody,Example: I like to keep my office colleagues at arm's length outside of office. I don't want them in my personal life. Read on,at arm's length
1085,in the ascendant,Meaning: to become more powerful,"Example: The Jones' have been in the ascendant ever since the 1800's. They are now the most influential family in the United Kingdom, after the Queen's own of course. Read on",in the ascendant
1086,armed to the teeth,"Meaning: heavily and formidably armed, usually with deadly weapons","Example: The alleged tax-defaulter was ready for all their questions, and armed to the teeth with proof of his innocence. Read on",armed to the teeth
1087,as and when,Meaning: at the time when (used to refer to an uncertain future event),Example: Most people in this city don't own a car - they just rent one as and when they need it. Read on,as and when
1088,up in arms,Meaning: angry,Example: My mom was up in arms about the new salary cuts rumoured to be put in place. Read on,up in arms
1089,long arm of the law,Meaning: the extensive influence of the authorities,Example: It is not easy for criminals to escape the long arm of the law in a developed country like United Kingdom. Read on,the long arm of the law
1090,seal of approval,Meaning: an official sign of approval,Example: The government finally agreed to give the new pension policy its seal of approval. Read on,seal of approval
1091,upset the applecart,Meaning: spoil or disrupt a plan or arrangement,"Example: We had planned to hold a get-together in the evening, but bad weather upset the applecart. Read on",upset the applecart.
1092,apple of eye,"Meaning: the person of whom one is extremely fond, favorite, loving","Example: She has three children, but her youngest son is the apple of her eye. Read on", apple of her eye.
1093,apple of discord,Meaning: something that causes trouble or unhappiness,Example: The right to host the next Olympic games has become an apple of discord between the two countries. Read on,apple of discord
1094,ants in pants,Meaning: be extremely restless,Example: The young students just can't sit still; they must have ants in their pants. Read on,have ants in their pants
1095,up the ante,Meaning: increase the demands or risks to obtain better results,Example: The government has upped the ante by refusing to negotiate with the ultras until a ceasefire has been agreed. Read on,upped the ante
